TOPIK Level,분류,주제,단어,CEFR Level,KIIP Level
초급1,인사,기본 인사,안녕하세요,A1,1급
초급1,인사,기본 인사,안녕,A1,1급
초급1,인사,기본 인사,감사합니다,A1,1급
초급1,인사,기본 인사,죄송합니다,A1,1급
초급1,인사,기본 인사,처음 뵙겠습니다,A1,1급
초급1,인사,인사 응답,네,A1,1급
초급1,인사,인사 응답,아니요,A1,1급
초급1,인사,인사 응답,반갑습니다,A1,1급
초급1,인사,인사 응답,또 봐요,A1,1급
초급1,인사,인사 응답,잘 가요,A1,1급
초급1,인사,헤어질 때 인사,안녕히 가세요,A1,1급
초급1,인사,헤어질 때 인사,안녕히 계세요,A1,1급
초급1,인사,헤어질 때 인사,다음에 봐요,A1,1급
초급1,인사,헤어질 때 인사,또 만나요,A1,1급
초급1,인사,헤어질 때 인사,조심하세요,A1,1급
초급1,인사,존댓말 인사,하세요,A1,1급
초급1,인사,존댓말 인사,입니다,A1,1급
초급1,인사,존댓말 인사,예요,A1,1급
초급1,인사,존댓말 인사,이에요,A1,1급
초급1,인사,존댓말 인사,요,A1,1급
초급1,인사,상황별 인사,아침,A1,1급
초급1,인사,상황별 인사,저녁,A1,1급
초급1,인사,상황별 인사,처음,A1,1급
초급1,인사,상황별 인사,만나다,A1,1급
초급1,인사,상황별 인사,헤어지다,A1,1급
초급1,자기소개,이름 말하기,이름,A1,1급
초급1,자기소개,이름 말하기,성,A1,1급
초급1,자기소개,이름 말하기,성함,A1,1급
초급1,자기소개,이름 말하기,저,A1,1급
초급1,자기소개,이름 말하기,제,A1,1급
초급1,자기소개,나이 말하기,나이,A1,1급
초급1,자기소개,나이 말하기,몇 살,A1,1급
초급1,자기소개,나이 말하기,살,A1,1급
초급1,자기소개,나이 말하기,어리다,A1,1급
초급1,자기소개,나이 말하기,많다,A1,1급
초급1,자기소개,직업 말하기,직업,A1,1급
초급1,자기소개,직업 말하기,학생,A1,1급
초급1,자기소개,직업 말하기,회사원,A1,1급
초급1,자기소개,직업 말하기,선생님,A1,1급
초급1,자기소개,직업 말하기,일,A1,1급
초급1,자기소개,친구 소개,친구,A1,1급
초급1,자기소개,친구 소개,사람,A1,1급
초급1,자기소개,친구 소개,소개하다,A1,1급
초급1,자기소개,친구 소개,같이,A1,1급
초급1,자기소개,친구 소개,알다,A1,1급
초급1,자기소개,자기소개 완성,자기소개,A1,1급
초급1,자기소개,자기소개 완성,말하다,A1,1급
초급1,자기소개,자기소개 완성,살다,A1,1급
초급1,자기소개,자기소개 완성,좋아하다,A1,1급
초급1,자기소개,자기소개 완성,공부하다,A1,1급
초급1,국적·언어,나라 이름,한국,A1,1급
초급1,국적·언어,나라 이름,미국,A1,1급
초급1,국적·언어,나라 이름,일본,A1,1급
초급1,국적·언어,나라 이름,중국,A1,1급
초급1,국적·언어,나라 이름,외국,A1,1급
초급1,국적·언어,국적 말하기,한국인,A1,1급
초급1,국적·언어,국적 말하기,미국인,A1,1급
초급1,국적·언어,국적 말하기,일본인,A1,1급
초급1,국적·언어,국적 말하기,중국인,A1,1급
초급1,국적·언어,국적 말하기,외국인,A1,1급
초급1,국적·언어,언어 말하기,한국어,A1,1급
초급1,국적·언어,언어 말하기,영어,A1,1급
초급1,국적·언어,언어 말하기,일본어,A1,1급
초급1,국적·언어,언어 말하기,중국어,A1,1급
초급1,국적·언어,어디에서 왔어요?,어디,A1,1급
초급1,국적·언어,어디에서 왔어요?,에서,A1,1급
초급1,국적·언어,어디에서 왔어요?,오다,A1,1급
초급1,국적·언어,어디에서 왔어요?,나라,A1,1급
초급1,국적·언어,~사람이에요,아니다,A1,1급
